lyrics,title
"Topless models doing semaphore
Wave their flags as she walks by and get ignored
Illuminations on a rainy day
When she walks, her footsteps sing a reckless serenade

I've been trying to figure out exactly what it is I need
Call up to listen to the voice of reason
And got the answering machine

The type of kisses where teeth collide
When she laughs, the heavens hum a stun-gun lullaby
Those twinkling vixens with the shining spiral eyes
Their hypnosis goes unnoticed when she's walking by

I've been trying to figure out exactly what it is I need
Call up to listen to the voice of reason
And got his answering machine
I left my message, but did he fuck get back to me
And now I'm stuck, still wondering how it's meant to be
Singing a reckless serenade, reckless serenade
Reckless serenade, reckless serenade

Reckless serenade, reckless serenade
Reckless serenade",Reckless Serenade
"I etched a face of a stopwatch
On the back of a raindrop
And did a swap for the sand in an hourglass

I heard an unhappy ending
It sort of sounds like you leaving
I heard the piledriver waltz
It woke me up this morning

You look like you've been for breakfast
At the heartbreak hotel
And sat in the back booth
By the pamphlets and the literature
On how to lose
Your waitress was miserable
And so was your food
If you're gonna try and walk on water
Make sure you wear your comfortable shoes

Mystery's flashing amber
Go green when you answer
But the red on the rest of the questionnaire
Never changes

I heard the news that you're planning
To shoot me out of a cannon
I heard the piledriver waltz
It woke me up this morning

You look like you've been for breakfast
At the heartbreak hotel
And sat in the back booth
By the pamphlets and the literature
On how to lose
Your waitress was miserable
And so was your food
If you're gonna try and walk on water
Make sure you wear your comfortable shoes

Ohh, piledriver",Piledriver Waltz
"Do you still feel younger than you thought you would by now
Or darling have you started feeling old yet?
Don't worry I'm sure that you're still breaking hearts
With the efficiency that only youth can harness

And do you still think love is a laserquest
Or do you take it all more seriously?
I've tried to ask you this in some daydreams that I've had
But you're always busy being make believe

And do you look into the mirror to remind yourself you're there
Or have somebody's goodnight kisses got that covered?
When I'm not being honest I pretend that you were just some lover

Now I can't think of there without thinking of you
I doubt that comes as a surprise
And I can't think of anything to dream about
I can't find anywhere to hide
And when I'm hanging on by the rings around my eyes
And I convince myself I need another
For a minute it gets easier to pretend that you were just some lover

When I'm pipe and slippers and rocking chair
Singing dreadful songs about summer
Will I've found a better method of pretending you were just some lover?
Will I've found a better method of pretending you were just some lover?",Love Is A Laserquest
"Your love is like a studded leather headlock
Your kiss it could put creases in the rain
You're rarer than a can of dandelion and burdock
And those other girls are just postmix lemonade

Suck it and see you never know
Sit next to me before I go
Jigsaw women with horror movie shoes
Be cruel to me cause I'm a fool for you

I poured my aching heart into a pop song
I couldn't get the hang of poetry
That's not a skirt girl that's a sawn off shotgun
And I can only hope you've got it aimed at me

Suck it and see you never know
Sit next to me before I go
Jigsaw women with horror movie shoes
Be cruel to me cause I'm a fool for you

Blue moon girls from once upon a Shangri-La
How I often wonder where you are
You have got that face that just says
""Baby, I was made to break your heart""

Suck it and see, you never know
Sit next to me before I go
Go, go, go
Jigsaw women with horror movie shoes
Be cruel to me cause I'm a fool for you",Suck It And See
"A pussyfooting setting sun
Make a wish that weighs a tonne
There are no handles for you to hold
And no understanding where it goes

Jealousy in technicolor
Fear by name, love by numbers
Streetlamp amber, wanderlust
Powder in a blunderbuss

She looks as if she's blowing a kiss at me
And suddenly the skies are sizzling
Sitting on the floor with a tambourine
Crushing up a bundle of love
Don't take it so personally
You're not the only one
That time's got it in for honey
That's where you're wrong

All the old flames fastened on
Make a wish that weighs a tonne
There are no handles that you can hold
And no understanding where it goes

She looks as if she's blowing a kiss at me
And suddenly the skies are sizzling
Sitting on the floor with a tambourine
Crushing up a bundle of love
Don't take it so personally
You're not the only one
That time's got it in for honey
That's where you're wrong
That's where you're wrong
That's where you're wrong",That's Where You're Wrong
"Black as a beacon
In a river of shimmering fog
Yes she was

If you were heat-seeking
She was hard to ignore
Yes she was

And she snapped
Wing mirrors off of Cadillacs
The particularly pretty ones

And that
Meant she never had to strain her back
When she was putting her lippy on

Well, time tastes bland
When she's not around
And you'd sit and you'd sink and approach the brink
Before she showed you how to shake love's steady hand
Tha knows

And she snapped
Wing mirrors off of Cadillacs
The particularly pretty ones

And that
Meant she never had to strain her back
When she was putting her lippy on

Shake love's steady hand
Shake love's steady
She floats like a niccy rush but she stings like a B-flat
The Blond-o-Sonic Shimmer Trap

And she snapped
Wing mirrors off of Cadillacs
The particularly pretty ones

And that
Meant she never had to strain her back
When she was putting her lippy on",The Blond-O-Sonic Shimmer Trap
"Have you got colour in your cheeks?
Do you ever get that fear that you can't shift
The type that sticks around like something in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I dreamt about you nearly every night this week
How many secrets can you keep?
'Cause there's this tune I found that makes me think of you somehow and I play it on repeat
Until I fall asleep
Spilling drinks on my settee

(Do I wanna know?)
If this feeling flows both ways?
(Sad to see you go)
Was sort of hoping that you'd stay
(Baby, we both know)
That the nights were mainly made for saying things that you can't say tomorrow day

Crawling back to you

Ever thought of calling when you've had a few?
'Cause I always do
Maybe I'm too busy being yours to fall for somebody new
Now I've thought it through

Crawling back to you

So have you got the guts?
Been wondering if your heart's still open and if so I wanna know what time it shuts
Simmer down and pucker up
I'm sorry to interrupt. It's just I'm constantly on the cusp of trying to kiss you
I don't know if you feel the same as I do
But we could be together if you wanted to

(Do I wanna know?)
If this feeling flows both ways?
(Sad to see you go)
Was sort of hoping that you'd stay
(Baby, we both know)
That the nights were mainly made for saying things that you can't say tomorrow day

Crawling back to you (crawling back to you)

Ever thought of calling when you've had a few? (you've had a few)
'Cause I always do ('cause I always do)
Maybe I'm too (maybe I'm too busy) busy being yours to fall for somebody new
Now I've thought it through

Crawling back to you

(Do I wanna know?)
If this feeling flows both ways?
(Sad to see you go)
Was sort of hoping that you'd stay
(Baby, we both know)
That the nights were mainly made for saying things that you can't say tomorrow day

(Do I wanna know?)
Too busy being yours to fall
(Sad to see you go)
Ever thought of calling darling?
(Do I wanna know?)
Do you want me crawling back to you?",Do I Wanna Know?
"I'm a puppet on a string
Tracy Island, time-traveling
Diamond could've shaped heartaches
Come to find you four in some velvet morning
Years too late
She's a silver lining lone ranger riding
Through an open space
In my mind when she's not right there beside me

I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself,
All I wanna hear her say is ""Are you mine?""

Well, are you mine?
Are you mine?
Are you mine?

I guess what I'm trying to say is I need the deep end
Keep imagining meeting, wished away entire lifetimes
Unfair we're not somewhere misbehaving for days
Great escape lost track of time and space
She's a silver lining climbing on my desire

And I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself,
All I wanna hear her say is ""Are you mine?""

Well, are you mine? (are you mine tomorrow?)
Are you mine? (or just mine tonight?)
Are you mine? (are you mine? Mine?)

And the thrill of the chase moves in mysterious ways
So in case I'm mistaken,
I just wanna hear you say you got me baby
Are you mine?

She's a silver lining lone ranger riding through an open space
In my mind when she's not right there beside me
I go crazy cause here isn't where I wanna be

And satisfaction feels like a distant memory
And I can't help myself,
All I wanna hear her say is ""Are you mine?""

Well, are you mine? (are you mine tomorrow?)
Are you mine? (or just mine tonight?)
Are you mine? (are you mine tomorrow, or just mine tonight?)",R U Mine?
"One for the road, ooh ooh
One for the road, ooh ooh

From the bottom of your heart
The relegation zone
I saw this coming from the start
The shake, rattle and roll
The cracks in blackout blinds
Cast patterns on the ceiling but you're feeling fine
I thought it was dark outside
I thought it was dark outside

So we all go back to yours and you sit and talk to me on the floor
There's no need to show me round baby, I feel like I've been in here before
I've been wondering whether later when you tell everybody to go,
Will you pour me one for the road?

I knew this would be on the cards
I knew you wouldn't fold
I saw this coming from the start
The shake, rattle and roll

One for the road, ooh ooh

So we all go back to yours and you sit and talk to me on the floor
There's no need to show me round baby, I feel like I've been in here before
I've been wondering whether later when you tell everybody to go,
Will you pour me one for the road?

The mixture hits you hard
Don't get that sinking feeling, don't fall apart
Some out of tune guitar
Soundtrack to disaster

Ooh ooh, one for the road
Ooh ooh, one for the road
Ooh ooh, one for the road
Ooh ooh, one for the road

So we all go back to yours and you sit and talk to me on the floor
There's no need to show me round baby, I feel like I've been in here before
I've been wondering whether later when you tell everybody to go,
Will you pour me one for the road?",One For The Road
"Arabella's got some interstellagator skin boots
And a helter skelter around her little finger and I ride it endlessly
She's got a Barbarella silver swimsuit
And when she needs a shelter from reality she takes a dip in my daydreams

My days end best when this sunset gets itself
Behind that little lady sitting on the passenger side
It's much less picturesque without her catching the light
The horizon tries but it's just not as kind on the eyes

As Arabella, oh
As Arabella
Just might have tapped into your mind and soul
You can't be sure

Arabella's got a 70s head
But she's a modern lover
It's an exploration, she's made of outer space
And her lips are like the galaxy's edge
And a kiss the colour of a constellation falling into place

My days end best when this sunset gets itself
Behind that little lady sitting on the passenger side
It's much less picturesque without her catching the light
The horizon tries but it's just not as kind on the eyes

As Arabella, oh
As Arabella
Just might have tapped into your mind and soul
You can't be sure

That's magic in a cheetah print coat
Just a slip underneath it I hope
Asking if I can have one of those
Organic cigarettes that she smokes
Wraps her lips round the Mexican coke
Makes you wish that you were the bottle
Takes a sip of your soul and it sounds like...

Just might have tapped into your mind and soul
You can't be sure",Arabella
"Blind faith
Heartache
Mind games
Mistakes
My sweet fireball
My sweet rigmarole
I want it all
I want it all

Old dogs
New tricks
Can you feel it?
Space age country girl
Stone cold miracle
I want it all
I want it all

And then suddenly it hit me it's a year ago
Since I drank miniature whiskey and we shared your coke
Ain't it just like you to kiss me and then hit the road
Leave me listening to the stones
2000 light years from home

[4x]
Shoo wop shoo wop shoo wop shoo wah

[4x]
I want it all",I Want It All
"So you're on the prowl wondering whether she left already or not
Leather jacket, collar popped like antenna
Never knowing when to stop
Sunglasses indoors, par for the course
Lights in the floors and sweat on the walls
Cages and poles

Call off the search for your soul, or put it on hold again
She's having a sly indoor smoke
She calls the folks who run this her oldest friends
Sipping her drink and laughing at imaginary jokes
As all the signals are sent, her eyes invite you to approach
And it seems as though those lumps in your throat
That you just swallowed have got you going

[Chorus:]
Come on, come on, come on
Come on, come on, come on
Number one party anthem

She's a certified mind blower, knowing full well that I don't
May suggest there's somewhere from which you might know her
Just to get the ball to roll
Drunken monologues, confused because
It's not like I'm falling in love I just want you to do me no good
And you look like you could

[Chorus:]
Come on, come on, come on
Come on, come on, come on
Number one party anthem
Come on, come on, come on
Before the moment's gone
Number one party anthem
Yeah, yeah

The look of love - the rush of blood
The ""She's with me"" - the Gallic shrug
The shutterbugs - the Camera Plus
The black and white - the colour dodge
The good time girls - the cubicles
The house of fun - the number one party anthem

Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Before the moment's gone
Number one party anthem
Number one party anthem
Number one party anthem
Yeah, yeah",No.1 Party Anthem
"Mad sounds in your ears make you feel alright
They bring you back to life
Mad sounds in your ears, they make you get up and dance
They make you get up

Yeah, they make you get up

Love buckles under the strain of those wild nights
Run but you cannot hide

Mad sounds in your ears make you get up and dance
Make you get up
All night long reappear
Make you get up and dance

Yeah, they make you get up

Suppose you've gotta do what you gotta do
We just weren't feeling how we wanted to
You sit and try sometimes but you just can't figure out what went wrong
Then out of nowhere somebody comes and hits you with an
Ooh la la la la...
(Ooh la la la la...)

You got those mad sounds in your ears to make you get up and dance
Mad sounds in your ears make you get up and dance
Well don't they make you get up
Yeah, they make you get up",Mad Sounds
"I can't explain but I want to try
There's this image of you and I
And it goes dancing by in the morning and in the night time

There's all these secrets that I can't keep
Like in my heart there's that hotel suite and you lived there so long,
It's kinda strange now you're gone

I'm not sure if I should show you what I've found
Has it gone for good?
Or is it coming back around?
Isn't it hard to make up your mind?
When you're losing and your fuse is fireside

There's all those places we used to go
And I suspect you already know
But that place on memory lane you liked still looks the same
But something about it's changed

I'm not sure if I should show you what I've found
Has it gone for good?
Or is it coming back around?
Isn't it hard to make up your mind?
When you're losing and your fuse is fireside

And I thought I was yours forever
Maybe I was mistaken but I just cannot manage to make it through the day
Without thinking of you lately

I'm not sure if I should show you what I've found
Has it gone for good?
Or is it coming back around?
Isn't it hard to make up your mind?
When you're losing and your fuse is fireside",Fireside
"The mirror's image
Tells me it's home time
But I'm not finished
'Cause you're not by my side
And as I arrived I thought I saw you leaving
Carrying your shoes
Decided that once again I was just dreaming
Of bumping into you

Now it's three in the morning and I'm trying to change your mind
Left you multiple missed calls and to my message you reply,
""Why'd you only call me when you're high?
Hi, why'd you only call me when you're high?""

Somewhere darker
Talking the same shite
I need a partner (hey)
Well, are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of making alright decisions
And having bad ideas

Now it's three in the morning and I'm trying to change your mind
Left you multiple missed calls and to my message you reply (message you reply),
""Why'd you only call me when you're high? (why'd you only call me when you're high?)
Hi, why'd you only call me when you're high?""

And I can't see you here wonder where I might?
Sort of feels like I'm running out of time
I haven't found what I was hoping to find
You said, ""You gotta be up in the morning, gonna have an early night.
And you're starting to bore me, baby.
Why'd you only call me when you're high?""

Why'd you only ever phone me when you're high?
Why'd you only ever phone me when you're high?
Why'd you only ever phone me when you're high?
Why'd you only ever phone me when you're high?",Why'd You Only Call Me When You're High?
"What's been happening in your world?
What have you been up to?
I heard that you fell in love
Or near enough
I gotta tell you the truth…

I wanna grab both your shoulders and shake baby
Snap out of it (Snap out of it)
I get the feeling I left it too late, but baby
Snap out of it (Snap out of it)
If that watch don't continue to swing or the fat lady fancies having a sing
I'll be here waiting ever so patiently for you to
Snap out of it

Forever isn't for everyone
Is forever for you?
It sounds like settling down or giving up
But it don't sound much like you girl

I wanna grab both your shoulders and shake baby
Snap out of it (Snap out of it)
I get the feeling I left it too late, but baby
Snap out of it (Snap out of it)
If that watch don't continue to swing or the fat lady fancies having a sing
I'll be here waiting ever so patiently for you to
Snap out of it

Under a spell you're hypnotized
Darling how could you be so blind?
(Snap out of it)
Under a spell you're hypnotized
Darling how could you be so blind?

I wanna grab both your shoulders and shake baby
Snap out of it (Snap out of it)
I get the feeling I left it too late, but baby
Snap out of it (Snap out of it)
If that watch don't continue to swing or the fat lady fancies having a sing
I'll be here waiting ever so patiently for you to
Snap out of it",Snap Out Of It
"You got the lights on in the afternoon
And the nights are drawn out long
And you're kissing to cut through the gloom
With a cough-drop-coloured tongue
And you were sitting in the corner with the coats all piled high
And I thought you might be mine
In a small world on an exceptionally rainy Tuesday night
In the right place and time

When the zeros line up on the 24 hour clock
When you know who's calling even though the number is blocked
When you walked around your house wearing my sky blue Lacoste
And your knee socks

Well you cured my January blues
Yeah you made it all alright
I got a feeling I might have lit the very fuse
That you were trying not to light
You were a stranger in my phone book I was acting like I knew
'Cause I had nothing to lose
When the winter's in full swing and your dreams just aren't coming true
Ain't it funny what you'll do

When the zeros line up on the 24 hour clock
When you know who's calling even though the number is blocked
When you walked around your house wearing my sky blue Lacoste
And your knee socks

The late afternoon
The ghost in your room that you always thought didn't approve of you knocking boots
Never stopped you letting me get hold of the sweet spot by the scruff of your
Knee socks

You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could Be My Baby
[4x]

(All the zeros lined up but the number's blocked when you've come undone)

When the zeros line up on the 24 hour clock
When you know who's calling even though the number is blocked
When you walked around your house wearing my sky blue Lacoste
And your knee socks
[2x]",Knee Socks
"I wanna be your vacuum cleaner
Breathing in your dust
I wanna be your Ford Cortina
I won't ever rust
If you like your coffee hot
Let me be your coffee pot
You call the shots babe
I just wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours
I wanna be yours, I wanna be yours
Wanna be yours, wanna be yours, wanna be yours

Let me be your 'leccy meter and I'll never run out
And let me be the portable heater that you'll get cold without
I wanna be your setting lotion (I wanna be)
Hold your hair in deep devotion (how deep?)
At least as deep as the Pacific Ocean
I wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours
I wanna be yours, I wanna be yours
Wanna be yours, wanna be yours, wanna be yours
Wanna be yours, wanna be yours, wanna be yours...

I wanna be your vacuum cleaner
Breathing in your dust
I wanna be your Ford Cortina
I won't ever rust
I just wanna be yours
(Wanna be yours)
I just wanna be yours
(Wanna be yours)
I just wanna be yours
(Wanna be yours)",I Wanna Be Yours
"Well the times are so a'changing
Baby even when it's live
You can press pause and rewind

You knew it would go amazing
But is this what you had in mind?
Oh there's nothing you can't find

It's two thousand and thirteen
All across the galaxy
It's two thousand and thirteen
(Yeah)

On the back of a transmitter
There's a little shiny fruit
And it's coming after you

As for Instagram and Twitter
She got caught in both lassoes
And neither one will cut her loose

It's two thousand and thirteen
All across the galaxy
It's two thousand and thirteen
(Yeah) Yeah

So baby take a walk with me
Past flying cars and time machines
There's magic like you won't believe, no

It's two thousand and thirteen
All across the galaxy
It's two thousand and thirteen
All across the galaxy",2013
"Well I wrote my number down
I never wrote it down before
Was gonna bring it over like something from a film
But I didn't have the bottle at all

Well I'm looking and you kept staring
Your thoughts pairing up with mine
And when you're so pretty and I'm so shy
You probably didn't give me the eye but I'm sure you did

Well I went outside
Couldn't say I tried
And I felt regret
Because you haven't bashed me and dashed back in
'Cause the ship hasn't sailed yet

But when I did I couldn't see your face
I could see your mates but that wouldn't do
Well I dashed around tried to find you
But you were, nowhere to be seen
Oh no no...

(la la la, la la la, la, la la la la)
(la la la, la la la, la, la la la la)
(la la la, la la la, la, la la la la)
(la la la, la la la, la, la la la la)

Well she moved in ways, that kept her there
In our minds for days
And weeks and months
I was that amazed
And there she stayed
Surrounded by the what if's and the maybe's",7
"When you left the house this evening,
You said you'd be back in a little while
Well I've been waiting for such a long time,
And this wait is driving me wild...

And while I wait I think about you,
Do you need me when I'm not there?
Are you planning to be without me?
Do you have a new attract?

You're a bad bad woman
You're a bad bad woman

If he is on you...
It keeps flashing through my mind,
If you would only call,
If you would be so kind.
Imagine things,
I see another man
And it's this waiting I just can't stand...

You're a bad bad woman
You're a bad bad woman
You're a bad bad woman
You're a bad bad woman",Bad Woman
"Both sides, and softly came the growl from both sides
And if his whisper splits the mist
Just think of what he's capable of with his kiss

Nice try, you cannot turn away but nice try
Turned your legs to little building blocks
And with his index finger flicks you on your socks

I'll go high pitched, he'll talk and make you voice sound high pitched
Dread to think if he got you on your own
And whispered in your ear in that baritone

It's the same stone, his heart was cut out of the same stone
That they used to calve his jaw, it's impossible not to feel inferior

And he could catapult you back to your daddy
Or into any hissing misery
And he will tear you out the day after a triumph is as hollow
As the day after a tragedy
He'll extinguish any chance of escape
When he slaps you on your arse or kisses your nape
And he's leaving without saying 'Bye'

And you would queue up to listen to him pissing
And hang around to watch some poor girl bluff
And then they chase him down the avenue
Incessently pestering him to let him join the club

He knows how to put a cork in the foot
And just how to shut up the charming ones of us
And they've seen him talking to your lady friend

There's a dust track waiting for betrayal
Where he'll teach you all the bits they missed

Nice try, you cannot turn away but nice try
Nice try, you cannot turn away but nice try
Nice try, you cannot turn away but nice try
Nice try, you cannot turn away but nice try

You cannot turn away",Catapult
"In the painted faces congregate
In the mating season
The seconds homes
They go alone
In no rush leave 'em
And there's a fountain
And a scimitar
Shaped yellow light
And it picks you up
And cuts you down to size

The people there
And the furniture
Start to seem important
A moment more
And you catch the floor
With a vivid and absorbent sharpened arc
Like the scimitar
Shaped yellow light
That picks you up
And cuts you down to size

Oh I had questions for the tap dancer
Sat on my lap
And she had child proof caps on her answers
Stone blower blow me a stone
And show me that handsome enchancer
She had a rock on her throttle
And a brown glass bottle full of
Shavings from the sun
Although those shoes affect your step
Don't forget whose legs you're on

There's a fountain and a scimitar
Shaped yellow light
And it picks you up
And it cuts you down to size",Don't Forget Whose Legs You're On
"Darlin’ tell me something I don’t know
Be my baby, be my GTO
Call me something no one else calls me
I forget how I want it
That electricity

My heart was breaking and got left unlocked
Didn’t see you sneak in but I’m glad you stopped
Tell me something I don’t already know
Like how you get your kisses to fill me with electricity

Love like locked horns
Love like dominos
Be my midnight
Be my ebb and flow
I forget how I want it
How it crept up on me
It takes over
Electricity

And my heart was breaking and got left unlocked
Didn’t see you sneak in but I’m glad you stopped
Tell me something I don’t already know
Like how you get your kisses to fill me with electricity

Separated
There I face it
Love like thunder
Love like falling snow

Tell me something I don’t already know
Like how you get your kisses to fill me with electricity",Electricity
"You've never met before,
But still she greets you like a long lost rock and roll,
She's definitely one of those,
But you'll go wherever she goes,

And when my body and my mind,
Both start talking at the exact same time,
Trying to think of ways to make her mine,
Bit difficult to find.

It's not what I need,
No, your love's not what I need,
So don't give it to me.

She said...

""Oh, well I know this will sound cold,
But I really have to go,
Oh, it's not that I'm not free,
There's nowhere I need to be,
It's just your love's not what I need,
So don't give it to me.""

It's not what I need,
No, your love's not what I need,
So don't give to me.

She said ""Baby, how can I believe you?
How can I believe you when you can't believe your luck? ""
No point sticking to the plan when it's come unstuck.

It's more a hunger than a thirst,
You'll break it out the second time,
Before you know about the first,
Looks well-equipped to leave you in the lurch,
But you'll let her do your worst.

And it's not hard to tell,
It's obvious the other angels faces fell,
When she told them that she had to go,
Trade her wings and overcoat for something colourful.

It's not what I need,
No, your love's not what I need,
So don't give to me.

[x3:]
No, your love's not what I need,
So don't give to me.

No, your love's not what I need.",Evil Twin
"[Verse 1]
You thrive on dancing in our laps
Before the more familiar chaps
And all the curtain leads to fever

We watched the womanizer cry
And in the last sip you and I
Declared we might require a breather

I am the truth true through and I
Convey excitement fluently
As solid as I can busk shock

With well presented merry men
And I know all too well
I shouldn't break the key off in the lock

[Chorus]
And the tumble splits the fray
Revealing silk and fit
In the fright lined dining room
Throw a gaze towards them while they feast

[Verse 2]
The days drag their heels
When you're not there to crack the whip
And the weeks wait to burst like a sache of brats

The old pantomime villian follows my coat
And he hides where it hangs and he spies through the slots

And meanwhile in the desert's only costume shop
The cowels hide and wait to rot away
The identities of the willing

[Verse 3]
Drowned bags of sugar in the night
Rocketing shutter doors despite
The shop not opening for hours

You can itch, flap and whistle
And try to avoid the top
As I scribbled over dribble
You were snoring, showing off

[Chorus]
The tumble splits the frays
Revealing silk and fit
In the fright lined dining room
Throw a gaze towards them while they feast",Fright Lined Dining Room
"I got my eyes on you
You’re everything that I see
I want your hot love and emotion, endlessly
I can't get over you
You put your mark on me
I want your high love and emotion, endlessly
Cause you're a good girl and you know it
You act so different around me
Cause you're a good girl and you know it
I know exactly who you could be

Just hold on we're going home
Just hold on we're going home
It's hard to do these things alone
Just hold on we're going home

Yeah
I got my eyes on you
You’re everything that I see
I want your hot love and emotion, endlessly
I can't get over you
You left your mark on me
I want your high love and emotion, endlessly
Cause you're a good girl and you know it
You act so different around me
Cause you're a good girl and you know it
I know exactly who you could be

So just hold on we're going home
Just hold on we're going home
It's hard to do these things alone
Just hold on we're going home

You're the girl
You’re the one
Gave you everything I love
You think that’s something baby
You think that’s something baby
You're the girl
You’re the one
Gave you everything I love
You think that’s something baby
You think that’s something baby

So just hold on we're going home
Just hold on we're going home
It's hard to do these things alone
Just hold on we're going home
Yeah
Just hold on we're going home
Just hold on we're going home
So just hold on we're going home
Just hold on we're going home","Hold On, We're Going Home"
"When I got back from fixing my hair
You were directing the traffic
Letting your stories slip on the snow
As if the transmission was automatic

It's arguable that i shouldn't have been there
It was fortunate timing
I had a hole in the pocket of my favorite coat
And my love dropped into the lining

(Have you got your strange?)
Not on me, I haven't got my strange
(Have you got your strange?)
Not on me

You can't sleep 'til you've sat on the steps to weep
'Til you feel like you've wept, yeah

(As long as you don't forget your strange)
(Have you got your strange?)
No not on me
I haven't got my strange
(Have you got your strange?)
Not on me
I haven't got my strange
I better fetch my strange
I haven't got my strange
I haven't got my strange",I Haven't Got My Strange
"Under constant correction, a fraud, a fraud
Someone's perception, trying not to bore
I'm a cold-hearted kidder, applaud, applaud
If you're the highest bidder, I'm yours

You figure out pathetic sets
We're not sure of the etiquette
We think out pathetic sets
We're not sure of the etiquette

And if you found this, it's probably too late
Clinically cynical, hereditary hate
If you found this it's probably too late
Approaching the pinnacle, I'm running out of mates

If we concentrate on being off the cuff
Not sure we're ready, but probably rough
Frightened that honesty isn't enough
And it's nothing on the early stuff",If You Found This It's Probably Too Late
"Try and think of something colourful for this season
Pull the wool over the gullible for no reason
You are all I have these days, shake it up and run away
With the night squabbling behind you

From the smoke in your hair to the blood in the bruise
And the bows on the shoes you kicked off
I'm joining the dots.
I'm joining the dots.

Thought I heard them talking in their sleep yesterday
And I tried but I just can't believe a word they say
Hurry up they'll be here soon, sleeping in the afternoon
While the rain's trying to prove a point outside

From the smoke in your hair to the blood in the bruise
And the bows on the shoes you kicked off
I'm joining the dots.
I'm joining the dots.

Those people make me calm
Can't the flame
Come up to the moth for a change
And darling if it's all the same to you
I'll have you to myself
I'm joining the dots.
I'm joining the dots.",Joining The Dots
"[Miles Kane:]
Swinging room to room
Planting something new
I've ridden the riddle, I'll do it again
Back to the Wirral where it all began

Wirral riddler

Send a letter to me, baby
I'm on the edge of my seat
Send a letter to me, baby
Little illusion machine

Riding through the gloom
Something beautiful

[Alex Turner:]
He's ridden the riddle, he'll do it again
He's going back to the Wirral where it all began

[Both:]
Wirral riddler

Send a letter to me, baby
I'm on the edge of my seat
Send a letter to me, baby
Little illusion machine

[Miles Kane:]
I tried it and I liked it but
It just never gets close enough

[Both:]
Send a letter to me, baby

(Wirral)
So tell me where have you been?
(Wirral)
Little illusion machine
(Wirral)
Hoping tonight is going to send me back to you

Wooow!",Little Illusion Machine (Wirral Riddler)
"Sank into their calculations and snorted on a stench
A bare arithmetic
Look for the boy who was hanging his head low
More trophies and ideas
To follow their pretend

With a scowl in his pocket and a smile on his face
He followed with obedience and fell in the nettles

I flew in some spiky whispers and he bought his own rope
And skipped against the rode
Did start not to find the dark lead and catch that man i hope
Devices man are closed
He lost all his foot holes

And with a scowl in his pocket and a smile on his face
He followed with obedience and fell in the nettles,
Fell in the nettles,
Fell in the nettles

He was a toothpick and the garlic and the cinder upon the path
Failed to blunt or hinder, a slow collapse
And clinging to the door frame he was trapped
After a reminder of where he had been

With a smile in his pocket and a scowl on his face
There was nowhere to flee
Just had to tent in the nettles",Nettles
"I want to see something that used to be in your eyes again
I'm waiting to see it you know it's only a question of when
And I know how much I'm missing heaven
You know that its missing

And only you know
Where you have been to
Only you know
What you have been through
There's better things
You're gonna get into
And I want to be there too

I know it's not easy for you to start to believe again
And when the day comes don't let yourself be deceived again
Cause I know how you've been waiting
Such a long time that you've been waiting

And only you know
Where you have been to
Only you know
What you have been through
There's better things
You're gonna get into
And I want to be there too

And I know how you've been waiting
Such a long time that you've been waiting

And only you know
Where you have been to
Only you know
What you have been through
There's better things
You're gonna get into
And I want to be there too",Only You Know
"He looks as if he hasnt slept, his hair is purposely unkept
And then he knew his people wept, when you crafted your plan
The shadows underneath the eyes, and everywhere the bastard lies
My lack of Proof is your disguise, you won't remember me
There's nothing really I can say, but sorry mate and walk away
I could be wrong unless you play your game,
This world is cruel and most unkind
And horrible is redefined, I can't imagine that you'd mind at all

You're lying again, you're conscious ain't your friend
And the only thing your sobbing out is your imagination,
Lying again you're conscious ain't your friend and the only thing your sobbing out is your imagination
Is he really on the street, desperation on deceit and what he's wearing on his feet won't solve our mystery,

And I am baffled by how you stand there, soaking it in
And do you hide your identity where you hide your grin, better hide your grin

Shadows underneath the eyes, everywhere the bastard lies
My lack of Proof is your disguise, you won't remember me

There's nothing really I can say, but sorry mate and walk away
I could be wrong unless you play your game,
This world is cruel and is most unkind
And horrible is redefined, I can't imagine that you'd mind at all
You're lying again, your conscious ain't your friend
And the only thing your sobbing out is your imagination,
Lying again your conscious ain't your friend and the only thing your sobbing out is your imagination",Plastic Tramp
